lat,lng,labels,image_ids,gt
40.79544122723341,-73.97089716578006,"[0, 0, 0]","[131, 132, 133]",40.795573934588795
40.79552501850474,-73.97083610641575,"[0]","[131]",40.795573934588795
40.78694877359867,-73.97204430477028,"[0]","[262]",40.78695272412649
40.78711970669311,-73.97191971883571,"[0]","[262]",40.787019879118795
40.78701210314022,-73.97199814653425,"[0]","[262]",40.787019879118795
40.78730423370123,-73.9750872607492,"[0]","[31]",40.78729533097672
40.78720563451072,-73.97515635448102,"[0]","[31]",40.78719585374236
40.782464421969316,-73.97531867201737,"[0]","[296]",40.78219386298359
40.78253305938122,-73.97526878984887,"[0]","[296]",40.782578125136396
40.795314225634726,-73.9709897128528,"[0]","[130]",40.795573934588795
40.78558450009874,-73.97303719656193,"[0]","[269]",40.78564805248415
40.79873601828163,-73.96849855014514,"[0]","[167]",40.79881022552449
40.79861637034195,-73.96858529859384,"[0]","[167]",40.798507941555755
40.79879577245696,-73.96845522616364,"[0]","[167]",40.79881022552449
40.78391325839924,-73.97756002520123,"[0, 0]","[7, 4]",40.78387852001854
40.78399131427875,-73.97750281150336,"[0]","[7]",40.78399445811882
40.78408720632157,-73.9774199240328,"[0]","[7]",40.78430454885149
40.79296633405424,-73.97259385944746,"[0]","[84]",40.79298275544007
40.79289155341225,-73.97276272772127,"[0]","[84]",-1
40.799597261433135,-73.96858363504876,"[0, 0]","[175, 173]",40.79977139147511
40.79943871037908,-73.96866672039178,"[0]","[175]",40.799529471273836
40.793800362363434,-73.97210032245366,"[0]","[100]",40.79379821777072
40.79360027139966,-73.9722455183375,"[0, 0]","[100, 96]",40.79365756816016
40.798831433188205,-73.96842936330657,"[0]","[169]",40.79881022552449
40.788130695566046,-73.97448012495865,"[0]","[43]",40.78800831727661
40.797928945228385,-73.96908627163552,"[0]","[156]",40.79784590781496
40.797966885151745,-73.96905885868723,"[0]","[156]",40.79784590781496
40.797848071378176,-73.96914470587777,"[0]","[156]",40.79784590781496
40.79788430012854,-73.96911852931304,"[0]","[156]",40.79784590781496
40.79658144183239,-73.97007288040399,"[0]","[141]",40.79654345444404
40.796263025254575,-73.97023928709196,"[0]","[141]",40.796208437046225
40.78776163333546,-73.97145507633148,"[0, 0, 0]","[255, 257, 256]",40.78777533976885
